kind,sweep,value,T,B,N,D,sigma,L,regime,mode,time_ms,mem_mib,firing
axonal,N,64.0,250,256,64,25,1.0,29,fwd,v2,93.05174255371094,64.39013671875,0.11819776147603989
axonal,N,64.0,250,256,64,25,1.0,29,fwd,v1,114.11363220214844,52.75830078125,0.11819776147603989
axonal,N,64.0,250,256,64,25,1.0,29,fwd,triton_exact,2.854912042617798,78.52490234375,0.11819776147603989
axonal,N,64.0,250,256,64,25,1.0,29,fwd,eventdriven,5.856256008148193,62.8828125,0.11819776147603989
axonal,N,64.0,250,256,64,25,1.0,29,fwd,vanilla,63.087615966796875,47.0,0.12565918266773224
axonal,N,64.0,250,256,64,25,1.0,29,fwdbwd,v2,235.22816467285156,541.2177734375,0.11819776147603989
axonal,N,64.0,250,256,64,25,1.0,29,fwdbwd,v1,342.4010314941406,523.2109375,0.11819776147603989
axonal,N,64.0,250,256,64,25,1.0,29,fwdbwd,triton_exact,10.869536399841309,149.8779296875,0.11819776147603989
axonal,N,64.0,250,256,64,25,1.0,29,fwdbwd,eventdriven,12.808192253112793,149.9404296875,0.11819776147603989
axonal,N,64.0,250,256,64,25,1.0,29,fwdbwd,vanilla,151.82847595214844,78.625,0.12565918266773224
axonal,N,128.0,250,256,128,25,1.0,29,fwd,v2,93.00070190429688,129.52880859375,0.12009155750274658
axonal,N,128.0,250,256,128,25,1.0,29,fwd,v1,114.54463958740234,105.51513671875,0.12009155750274658
axonal,N,128.0,250,256,128,25,1.0,29,fwd,triton_exact,5.561344146728516,160.07861328125,0.12009155750274658
axonal,N,128.0,250,256,128,25,1.0,29,fwd,eventdriven,11.536383628845215,128.1396484375,0.12009155750274658
axonal,N,128.0,250,256,128,25,1.0,29,fwd,vanilla,64.52735900878906,94.75,0.12836854159832
axonal,N,128.0,250,256,128,25,1.0,29,fwdbwd,v2,233.00607299804688,1069.4326171875,0.12009155750274658
axonal,N,128.0,250,256,128,25,1.0,29,fwdbwd,v1,337.6217956542969,1043.9189453125,0.12009155750274658
axonal,N,128.0,250,256,128,25,1.0,29,fwdbwd,triton_exact,20.205568313598633,350.3447265625,0.12009155750274658
axonal,N,128.0,250,256,128,25,1.0,29,fwdbwd,eventdriven,26.30860710144043,350.4697265625,0.12009155750274658
axonal,N,128.0,250,256,128,25,1.0,29,fwdbwd,vanilla,152.87709045410156,157.25,0.12836854159832
axonal,N,256.0,250,256,256,25,1.0,29,fwd,v2,82.04390716552734,257.556640625,0.11647504568099976
axonal,N,256.0,250,256,256,25,1.0,29,fwd,v1,100.00895690917969,209.529296875,0.11647504568099976
axonal,N,256.0,250,256,256,25,1.0,29,fwd,triton_exact,16.655359268188477,312.7822265625,0.11647504568099976
axonal,N,256.0,250,256,256,25,1.0,29,fwd,eventdriven,29.190143585205078,250.029296875,0.11647504568099976
axonal,N,256.0,250,256,256,25,1.0,29,fwd,vanilla,51.43244934082031,188.0,0.12425623089075089
axonal,N,256.0,250,256,256,25,1.0,29,fwdbwd,v2,218.6588134765625,2137.36376953125,0.11647504568099976
axonal,N,256.0,250,256,256,25,1.0,29,fwdbwd,v1,384.3847961425781,2084.33642578125,0.11647504568099976
axonal,N,256.0,250,256,256,25,1.0,29,fwdbwd,triton_exact,99.2389144897461,626.56298828125,0.11647504568099976
axonal,N,256.0,250,256,256,25,1.0,29,fwdbwd,eventdriven,110.6526107788086,626.81298828125,0.11647504568099976
axonal,N,256.0,250,256,256,25,1.0,29,fwdbwd,vanilla,135.25299072265625,313.0,0.12425623089075089
axonal,N,512.0,250,256,512,25,1.0,29,fwd,v2,94.02467346191406,516.1123046875,0.11655423790216446
axonal,N,512.0,250,256,512,25,1.0,29,fwd,v1,140.5122528076172,420.0576171875,0.11655423790216446
axonal,N,512.0,250,256,512,25,1.0,29,fwd,triton_exact,54.64575958251953,631.064453125,0.11655423790216446
axonal,N,512.0,250,256,512,25,1.0,29,fwd,eventdriven,112.08780670166016,503.05859375,0.11655496805906296
axonal,N,512.0,250,256,512,25,1.0,29,fwd,vanilla,64.69209289550781,377.0,0.124057836830616
axonal,N,512.0,250,256,512,25,1.0,29,fwdbwd,v2,257.6947326660156,4265.72607421875,0.11655423790216446
axonal,N,512.0,250,256,512,25,1.0,29,fwdbwd,v1,656.2744140625,4169.67138671875,0.11655423790216446
axonal,N,512.0,250,256,512,25,1.0,29,fwdbwd,triton_exact,,,
axonal,N,512.0,250,256,512,25,1.0,29,fwdbwd,eventdriven,,,
axonal,N,512.0,250,256,512,25,1.0,29,fwdbwd,vanilla,151.40147399902344,627.0,0.124057836830616
axonal,N,1024.0,250,256,1024,25,1.0,29,fwd,v2,122.75507354736328,1030.2236328125,0.11792310327291489
axonal,N,1024.0,250,256,1024,25,1.0,29,fwd,v1,372.20947265625,838.1142578125,0.11792293190956116
axonal,N,1024.0,250,256,1024,25,1.0,29,fwd,triton_exact,1019.0438842773438,1254.12890625,0.11792325228452682
axonal,N,1024.0,250,256,1024,25,1.0,29,fwd,eventdriven,404.27825927734375,1001.1171875,0.11792407929897308
axonal,N,1024.0,250,256,1024,25,1.0,29,fwd,vanilla,65.96505737304688,752.0,0.1256444901227951
axonal,N,1024.0,250,256,1024,25,1.0,29,fwdbwd,v2,317.3775329589844,8529.45068359375,0.11792310327291489
axonal,N,1024.0,250,256,1024,25,1.0,29,fwdbwd,v1,1490.62451171875,8528.34130859375,0.11792293190956116
axonal,N,1024.0,250,256,1024,25,1.0,29,fwdbwd,triton_exact,,,
axonal,N,1024.0,250,256,1024,25,1.0,29,fwdbwd,eventdriven,,,
axonal,N,1024.0,250,256,1024,25,1.0,29,fwdbwd,vanilla,154.7315216064453,1252.0,0.1256444901227951
axonal,D,5.0,250,256,256,5,1.0,9,fwd,v2,66.52620697021484,252.517578125,0.11677368730306625
axonal,D,5.0,250,256,256,5,1.0,9,fwd,v1,78.25408172607422,194.509765625,0.11677368730306625
