model,std,magnitude,model_seed,perturb_seed,acc
ax_fixed,3,8.0,0,1,47.78869778869779
ax_fixed,3,8.0,0,2,48.01904176904177
ax_fixed,3,12.0,0,0,41.154791154791155
ax_fixed,3,12.0,0,1,41.09336609336609
ax_fixed,3,12.0,0,2,41.492628992628994
ax_fixed,3,0.0,1,0,82.34029484029485
ax_fixed,3,1.0,1,0,76.93488943488944
ax_fixed,3,1.0,1,1,76.73525798525799
ax_fixed,3,1.0,1,2,77.56449631449631
ax_fixed,3,2.0,1,0,71.16093366093367
ax_fixed,3,2.0,1,1,71.4987714987715
ax_fixed,3,2.0,1,2,70.94594594594595
ax_fixed,3,4.0,1,0,61.87039312039312
ax_fixed,3,4.0,1,1,61.51719901719902
ax_fixed,3,4.0,1,2,61.148648648648646
ax_fixed,3,8.0,1,0,46.86732186732187
ax_fixed,3,8.0,1,1,47.72727272727273
ax_fixed,3,8.0,1,2,46.652334152334156
ax_fixed,3,12.0,1,0,40.187346437346434
ax_fixed,3,12.0,1,1,38.92813267813268
ax_fixed,3,12.0,1,2,39.680589680589684
ax_fixed,3,0.0,2,0,82.24815724815724
ax_fixed,3,1.0,2,0,77.36486486486487
ax_fixed,3,1.0,2,1,77.04238329238329
ax_fixed,3,1.0,2,2,77.22665847665847
ax_fixed,3,2.0,2,0,73.58722358722359
ax_fixed,3,2.0,2,1,72.89619164619165
ax_fixed,3,2.0,2,2,73.47972972972973
ax_fixed,3,4.0,2,0,64.8034398034398
ax_fixed,3,4.0,2,1,65.52518427518427
ax_fixed,3,4.0,2,2,64.54238329238329
ax_fixed,3,8.0,2,0,50.96744471744472
ax_fixed,3,8.0,2,1,50.89066339066339
ax_fixed,3,8.0,2,2,50.58353808353808
ax_fixed,3,12.0,2,0,43.41216216216216
ax_fixed,3,12.0,2,1,43.19717444717445
ax_fixed,3,12.0,2,2,43.396805896805894
ax_fixed,8,0.0,0,0,83.15417690417691
ax_fixed,8,1.0,0,0,78.762285012285
ax_fixed,8,1.0,0,1,78.5012285012285
ax_fixed,8,1.0,0,2,78.83906633906633
