model,layer,q,seed,long_only,short_only,parts,full,cross
ax_learned,1,0.25,0,0.7980898178131071,4.986425931377359,5.784515749190466,9.601609263075261,0.3975472662238114
ax_learned,1,0.25,1,0.3974094789520232,5.809047198508495,6.206456677460518,8.960520720897529,0.30735535681693626
ax_learned,1,0.25,2,0.6901514408137928,5.344585091420541,6.034736532234334,9.510025185621307,0.36543422184006835
ax_learned,1,0.25,3,0.4170346384064345,5.045301409740617,5.462336048147051,11.102933961338437,0.508027691854471
ax_learned,1,0.25,4,0.6656199914957597,6.394531122232029,7.060151113727788,12.54211232132927,0.4370843656278529
ax_learned,1,0.5,0,1.6108985052170226,1.1366238184018584,2.747522323618881,9.601609263075261,0.7138477261113948
ax_learned,1,0.5,1,1.4277303503091048,1.2102181663559388,2.637948516665044,8.960520720897529,0.7056032122650107
ax_learned,1,0.5,2,1.3803028816275809,1.435907500081773,2.816210381709354,9.510025185621307,0.7038693035253654
ax_learned,1,0.5,3,1.8529421384882028,1.1905930069015132,3.0435351453897157,11.102933961338437,0.7258801001620274
ax_learned,1,0.5,4,2.4989369705295466,1.5487521669446853,4.047689137474232,12.54211232132927,0.6772721345677408
ax_learned,1,0.75,0,3.6159356294769887,0.21587675399862385,3.8318123834756124,9.601609263075261,0.6009197751660709
ax_learned,1,0.75,1,3.1972655611160263,-0.11120923690837496,3.0860563242076515,8.960520720897529,0.6555940865121355
ax_learned,1,0.75,2,2.5856147581199167,-0.03434402904522926,2.5512707290746874,9.510025185621307,0.7317282889079954
ax_learned,1,0.75,3,2.9012527393451726,0.10630294704477687,3.0075556863899493,11.102933961338437,0.7291206363234647
ax_learned,1,0.75,4,3.910313021293296,0.26821051254374595,4.178523533837042,12.54211232132927,0.6668405267961925
ax_learned,2,0.25,0,0.8782258855853181,3.889052431884347,4.767278317469665,14.161187976318976,0.6633560457327634
ax_learned,2,0.25,1,0.5069832859058702,2.649396526346782,3.156379812252652,10.160926307526253,0.6893610172219531
ax_learned,2,0.25,2,0.9698099630392866,3.283943348706378,4.2537533117456645,13.049095607235145,0.6740193006642432
ax_learned,2,0.25,3,0.8258921270401961,2.5872501880744445,3.4131423151146407,11.70967847447094,0.708519553072626
ax_learned,2,0.25,4,0.6950577306773909,3.697707127203737,4.392764857881128,12.733457626009871,0.6550218340611359
ax_learned,2,0.5,0,2.4286134824845456,1.1366238184018584,3.565237300886404,14.161187976318976,0.748238826654348
ax_learned,2,0.5,1,2.5136558401203737,0.8340692768128785,3.347725116933252,10.160926307526253,0.6705295348462892
ax_learned,2,0.5,2,3.009191116344496,1.0957380695384842,4.10492918588298,13.049095607235145,0.6854242386263935
ax_learned,2,0.5,3,2.387727733621167,1.349229712491412,3.736957446112579,11.70967847447094,0.6808659217877098
ax_learned,2,0.5,4,2.2879665063945303,1.605992215353415,3.8939587217479454,12.733457626009871,0.694194708451066
ax_learned,2,0.75,0,6.204821247505976,0.2436790632257176,6.448500310731693,14.161187976318976,0.5446356392193094
ax_learned,2,0.75,1,4.088574886337625,-0.11611552677198252,3.9724593595656423,10.160926307526253,0.6090455496539504
ax_learned,2,0.75,2,6.055997121643283,0.09812579727210864,6.154122918915391,13.049095607235145,0.528387015916781
ax_learned,2,0.75,3,5.843391227553724,0.3254505609524709,6.168841788506195,11.70967847447094,0.4731843575418998
ax_learned,2,0.75,4,5.3331370817387835,0.5544107545873752,5.887547836326159,12.733457626009871,0.5376316465450816
ax_learned,3,0.25,0,0.335263140679686,0.6312759624505304,0.9665391031302164,1.5880024858535318,0.39134912461379834
ax_learned,3,0.25,1,0.10139665718117878,0.4072220586792336,0.5086187158604124,1.3132502534916455,0.6127023661270148
ax_learned,3,0.25,2,0.08504235763582813,0.6132862329506471,0.6983285905864752,1.4277303503091001,0.5108820160366495
ax_learned,3,0.25,3,0.219147613907694,0.7572040689497234,0.9763516828574174,1.388480031400249,0.29681978798586683
ax_learned,3,0.25,4,0.2862002420436293,0.7277663297680922,1.0139665718117215,1.7564517711706362,0.42271880819367147
ax_learned,3,0.5,0,0.520066725542146,0.28947110195269943,0.8095378274948454,1.5880024858535318,0.4902162718846572
ax_learned,3,0.5,1,0.45464952736075287,0.1602721355444411,0.614921662905194,1.3132502534916455,0.5317559153175477
ax_learned,3,0.5,2,0.4481078075426031,0.21914761390769874,0.6672554214503018,1.4277303503091001,0.5326460481099651
ax_learned,3,0.5,3,0.47591011676969214,0.49717070617865505,0.9730808229483472,1.388480031400249,0.2991755005889293
ax_learned,3,0.5,4,0.6558074117685493,0.5184312955876038,1.174238707356153,1.7564517711706362,0.3314711359404141
ax_learned,3,0.75,0,1.1448009681745361,0.24204363327118492,1.386844601445721,1.5880024858535318,0.1266735324407826
ax_learned,3,0.75,1,0.8684133058581125,-0.11284466686290766,0.7555686389952049,1.3132502534916455,0.4246575342465665
ax_learned,3,0.75,2,1.0434043109933622,0.0016354299545421707,1.0450397409479044,1.4277303503091001,0.26804123711339756
ax_learned,3,0.75,3,0.9420076538121881,0.22568933372583425,1.1676969875380223,1.388480031400249,0.15901060070671114
ax_learned,3,0.75,4,1.1676969875380223,0.2027933143623386,1.370490301900361,1.7564517711706362,0.21973929236499357
