kind,sweep,value,T,B,N,D,sigma,L,regime,mode,time_ms,mem_mib,firing
synaptic,N,128.0,250,256,128,25,1.0,29,fwd,eventdriven,12.811103820800781,68.00146484375,0.12029480189085007
synaptic,N,128.0,250,256,128,25,1.0,29,fwd,vanilla,62.836734771728516,94.75,0.12836854159832
synaptic,N,128.0,250,256,128,25,1.0,29,fwdbwd,v2,192.22735595703125,1045.62548828125,0.12029480189085007
synaptic,N,128.0,250,256,128,25,1.0,29,fwdbwd,v1,400.3010559082031,592.00048828125,0.12029480189085007
synaptic,N,128.0,250,256,128,25,1.0,29,fwdbwd,eventdriven,41.338111877441406,160.126953125,0.12029480189085007
synaptic,N,128.0,250,256,128,25,1.0,29,fwdbwd,vanilla,155.51405334472656,157.25,0.12836854159832
synaptic,N,256.0,250,256,256,25,1.0,29,fwd,v2,68.52003479003906,278.75,0.11645007878541946
synaptic,N,256.0,250,256,256,25,1.0,29,fwd,v1,149.5162811279297,209.5,0.11645007878541946
synaptic,N,256.0,250,256,256,25,1.0,29,fwd,eventdriven,158.7578887939453,133.2529296875,0.11645007878541946
synaptic,N,256.0,250,256,256,25,1.0,29,fwd,vanilla,51.23276901245117,188.0,0.12425623089075089
synaptic,N,256.0,250,256,256,25,1.0,29,fwdbwd,v2,173.6468505859375,2107.75048828125,0.11645007878541946
synaptic,N,256.0,250,256,256,25,1.0,29,fwdbwd,v1,440.34765625,2091.50048828125,0.11645007878541946
synaptic,N,256.0,250,256,256,25,1.0,29,fwdbwd,eventdriven,263.0901794433594,312.7529296875,0.11645007878541946
synaptic,N,256.0,250,256,256,25,1.0,29,fwdbwd,vanilla,136.09368896484375,313.0,0.12425623089075089
synaptic,N,512.0,250,256,512,25,1.0,29,fwd,v2,103.05945587158203,601.5,0.11669333279132843
synaptic,N,512.0,250,256,512,25,1.0,29,fwd,v1,161.36294555664062,434.5,0.11669333279132843
synaptic,N,512.0,250,256,512,25,1.0,29,fwd,eventdriven,1515.52001953125,269.505859375,0.11669333279132843
synaptic,N,512.0,250,256,512,25,1.0,29,fwd,vanilla,63.901695251464844,377.0,0.124057836830616
synaptic,N,512.0,250,256,512,25,1.0,29,fwdbwd,v2,294.9642333984375,4284.50048828125,0.11669333279132843
synaptic,N,512.0,250,256,512,25,1.0,29,fwdbwd,v1,784.637939453125,8070.00048828125,0.11669333279132843
synaptic,N,512.0,250,256,512,25,1.0,29,fwdbwd,eventdriven,1917.21044921875,722.75537109375,0.11669333279132843
synaptic,N,512.0,250,256,512,25,1.0,29,fwdbwd,vanilla,150.37542724609375,627.0,0.124057836830616
synaptic,N,1024.0,250,256,1024,25,1.0,29,fwd,v2,336.746337890625,1373.0,0.11792917549610138
synaptic,N,1024.0,250,256,1024,25,1.0,29,fwd,v1,490.7980041503906,936.0,0.11792923510074615
synaptic,N,1024.0,250,256,1024,25,1.0,29,fwd,eventdriven,6133.99267578125,539.01171875,0.11792923510074615
synaptic,N,1024.0,250,256,1024,25,1.0,29,fwd,vanilla,66.13606262207031,752.0,0.1256444901227951
synaptic,N,1024.0,250,256,1024,25,1.0,29,fwdbwd,v2,1001.8427124023438,8855.00048828125,0.11792917549610138
synaptic,N,1024.0,250,256,1024,25,1.0,29,fwdbwd,v1,2146.007080078125,30290.00048828125,0.11792923510074615
synaptic,N,1024.0,250,256,1024,25,1.0,29,fwdbwd,eventdriven,8204.447265625,1846.00927734375,0.11792923510074615
synaptic,N,1024.0,250,256,1024,25,1.0,29,fwdbwd,vanilla,153.66738891601562,1252.0,0.1256444901227951
synaptic,D,5.0,250,256,256,5,1.0,9,fwd,v2,54.34880065917969,259.125,0.11676599830389023
synaptic,D,5.0,250,256,256,5,1.0,9,fwd,v1,124.16716766357422,194.875,0.11676599830389023
synaptic,D,5.0,250,256,256,5,1.0,9,fwd,eventdriven,21.481664657592773,128.2529296875,0.11676599830389023
synaptic,D,5.0,250,256,256,5,1.0,9,fwd,vanilla,40.771583557128906,188.0,0.12425623089075089
synaptic,D,5.0,250,256,256,5,1.0,9,fwdbwd,v2,155.1267852783203,827.62548828125,0.11676599830389023
synaptic,D,5.0,250,256,256,5,1.0,9,fwdbwd,v1,333.8985900878906,830.00048828125,0.11676599830389023
synaptic,D,5.0,250,256,256,5,1.0,9,fwdbwd,eventdriven,93.8782730102539,312.7529296875,0.11676599830389023
synaptic,D,5.0,250,256,256,5,1.0,9,fwdbwd,vanilla,121.15360260009766,313.0,0.12425623089075089
synaptic,D,10.0,250,256,256,10,1.0,14,fwd,v2,55.1157112121582,263.75,0.1168350875377655
synaptic,D,10.0,250,256,256,10,1.0,14,fwd,v1,121.63180541992188,198.25,0.1168350875377655
synaptic,D,10.0,250,256,256,10,1.0,14,fwd,eventdriven,34.9194221496582,129.5029296875,0.1168350875377655
synaptic,D,10.0,250,256,256,10,1.0,14,fwd,vanilla,40.69478225708008,188.0,0.12425623089075089
synaptic,D,10.0,250,256,256,10,1.0,14,fwdbwd,v2,154.79408264160156,1162.25048828125,0.1168350875377655
synaptic,D,10.0,250,256,256,10,1.0,14,fwdbwd,v1,334.6808776855469,1142.00048828125,0.1168350875377655
synaptic,D,10.0,250,256,256,10,1.0,14,fwdbwd,eventdriven,110.9175033569336,312.7529296875,0.1168350875377655
synaptic,D,10.0,250,256,256,10,1.0,14,fwdbwd,vanilla,118.99187469482422,313.0,0.12425623089075089
synaptic,D,25.0,250,256,256,25,1.0,29,fwd,v2,54.035457611083984,278.75,0.11645007878541946
synaptic,D,25.0,250,256,256,25,1.0,29,fwd,v1,123.5937271118164,209.5,0.11645007878541946
synaptic,D,25.0,250,256,256,25,1.0,29,fwd,eventdriven,158.65548706054688,133.2529296875,0.11645007878541946
synaptic,D,25.0,250,256,256,25,1.0,29,fwd,vanilla,40.53606414794922,188.0,0.12425623089075089
synaptic,D,25.0,250,256,256,25,1.0,29,fwdbwd,v2,159.43475341796875,2107.75048828125,0.11645007878541946
synaptic,D,25.0,250,256,256,25,1.0,29,fwdbwd,v1,403.05755615234375,2091.50048828125,0.11645007878541946
synaptic,D,25.0,250,256,256,25,1.0,29,fwdbwd,eventdriven,263.5245666503906,312.7529296875,0.11645007878541946
synaptic,D,25.0,250,256,256,25,1.0,29,fwdbwd,vanilla,119.15878295898438,313.0,0.12425623089075089
synaptic,D,50.0,250,256,256,50,1.0,54,fwd,v2,59.877376556396484,303.75,0.11553332954645157
synaptic,D,50.0,250,256,256,50,1.0,54,fwd,v1,127.08659362792969,228.25,0.1155332699418068
synaptic,D,50.0,250,256,256,50,1.0,54,fwd,eventdriven,516.8609008789062,139.5029296875,0.1155332699418068
synaptic,D,50.0,250,256,256,50,1.0,54,fwd,vanilla,40.602622985839844,188.0,0.12425623089075089
synaptic,D,50.0,250,256,256,50,1.0,54,fwdbwd,v2,196.57113647460938,3885.50048828125,0.11553332954645157
synaptic,D,50.0,250,256,256,50,1.0,54,fwdbwd,v1,577.3506469726562,3799.50048828125,0.1155332699418068
synaptic,D,50.0,250,256,256,50,1.0,54,fwdbwd,eventdriven,640.1689453125,351.87841796875,0.1155332699418068
synaptic,D,50.0,250,256,256,50,1.0,54,fwdbwd,vanilla,119.22329711914062,313.0,0.12425623089075089
synaptic,D,100.0,250,256,256,100,1.0,104,fwd,v2,103.35311889648438,353.75,0.11387787759304047
synaptic,D,100.0,250,256,256,100,1.0,104,fwd,v1,151.59500122070312,281.25,0.11387787759304047
synaptic,D,100.0,250,256,256,100,1.0,104,fwd,eventdriven,720.1697998046875,152.0029296875,0.11387787759304047
synaptic,D,100.0,250,256,256,100,1.0,104,fwd,vanilla,41.4156494140625,188.0,0.12425623089075089
synaptic,D,100.0,250,256,256,100,1.0,104,fwdbwd,v2,316.9688720703125,6967.00048828125,0.11387787759304047
synaptic,D,100.0,250,256,256,100,1.0,104,fwdbwd,v1,899.789794921875,6854.00048828125,0.11387787759304047
synaptic,D,100.0,250,256,256,100,1.0,104,fwdbwd,eventdriven,872.5678100585938,439.50341796875,0.11387787759304047
synaptic,D,100.0,250,256,256,100,1.0,104,fwdbwd,vanilla,121.82118225097656,313.0,0.12425623089075089
synaptic,sigma,0.0,250,256,256,25,0.0,28,fwd,v2,54.51980972290039,277.75,0.1199030801653862
synaptic,sigma,0.0,250,256,256,25,0.0,28,fwd,v1,124.63104248046875,208.75,0.1199030801653862
synaptic,sigma,0.0,250,256,256,25,0.0,28,fwd,eventdriven,93.92323303222656,133.0029296875,0.1199030801653862
synaptic,sigma,0.0,250,256,256,25,0.0,28,fwd,vanilla,40.836097717285156,188.0,0.12425623089075089
synaptic,sigma,0.0,250,256,256,25,0.0,28,fwdbwd,v2,158.20697021484375,2041.75048828125,0.1199030801653862
synaptic,sigma,0.0,250,256,256,25,0.0,28,fwdbwd,v1,398.2303466796875,2030.00048828125,0.1199030801653862
synaptic,sigma,0.0,250,256,256,25,0.0,28,fwdbwd,eventdriven,159.90988159179688,312.7529296875,0.1199030801653862
synaptic,sigma,0.0,250,256,256,25,0.0,28,fwdbwd,vanilla,119.84178924560547,313.0,0.12425623089075089
synaptic,sigma,1.0,250,256,256,25,1.0,29,fwd,v2,54.82291030883789,278.75,0.11645007878541946
synaptic,sigma,1.0,250,256,256,25,1.0,29,fwd,v1,125.00758361816406,209.5,0.11645007878541946
synaptic,sigma,1.0,250,256,256,25,1.0,29,fwd,eventdriven,158.26425170898438,133.2529296875,0.11645007878541946
synaptic,sigma,1.0,250,256,256,25,1.0,29,fwd,vanilla,40.873695373535156,188.0,0.12425623089075089
synaptic,sigma,1.0,250,256,256,25,1.0,29,fwdbwd,v2,157.06008911132812,2107.75048828125,0.11645007878541946
synaptic,sigma,1.0,250,256,256,25,1.0,29,fwdbwd,v1,403.8533630371094,2091.50048828125,0.11645007878541946
synaptic,sigma,1.0,250,256,256,25,1.0,29,fwdbwd,eventdriven,264.4029541015625,312.7529296875,0.11645007878541946
synaptic,sigma,1.0,250,256,256,25,1.0,29,fwdbwd,vanilla,119.67183685302734,313.0,0.12425623089075089
synaptic,sigma,2.0,250,256,256,25,2.0,30,fwd,v2,54.615966796875,279.75,0.11441339552402496
synaptic,sigma,2.0,250,256,256,25,2.0,30,fwd,v1,127.7245101928711,210.25,0.11441339552402496
synaptic,sigma,2.0,250,256,256,25,2.0,30,fwd,eventdriven,206.43507385253906,133.5029296875,0.11441339552402496
synaptic,sigma,2.0,250,256,256,25,2.0,30,fwd,vanilla,40.990718841552734,188.0,0.12425623089075089
synaptic,sigma,2.0,250,256,256,25,2.0,30,fwdbwd,v2,163.75196838378906,2169.75048828125,0.11441339552402496
synaptic,sigma,2.0,250,256,256,25,2.0,30,fwdbwd,v1,418.06927490234375,2155.00048828125,0.11441339552402496
synaptic,sigma,2.0,250,256,256,25,2.0,30,fwdbwd,eventdriven,349.1295471191406,312.7529296875,0.11441339552402496
synaptic,sigma,2.0,250,256,256,25,2.0,30,fwdbwd,vanilla,119.6961898803711,313.0,0.12425623089075089
synaptic,sigma,4.0,250,256,256,25,4.0,32,fwd,v2,54.47574234008789,281.75,0.11199609935283661
synaptic,sigma,4.0,250,256,256,25,4.0,32,fwd,v1,127.73785400390625,211.75,0.11199609935283661
synaptic,sigma,4.0,250,256,256,25,4.0,32,fwd,eventdriven,315.3367004394531,134.0029296875,0.11199609935283661
synaptic,sigma,4.0,250,256,256,25,4.0,32,fwd,vanilla,41.02979278564453,188.0,0.12425623089075089
synaptic,sigma,4.0,250,256,256,25,4.0,32,fwdbwd,v2,163.3269805908203,2297.75048828125,0.11199609935283661
synaptic,sigma,4.0,250,256,256,25,4.0,32,fwdbwd,v1,435.355712890625,2282.00048828125,0.11199609935283661
synaptic,sigma,4.0,250,256,256,25,4.0,32,fwdbwd,eventdriven,532.2311401367188,312.7529296875,0.11199609935283661
synaptic,sigma,4.0,250,256,256,25,4.0,32,fwdbwd,vanilla,120.09677124023438,313.0,0.12425623089075089
synaptic,sigma,8.0,250,256,256,25,8.0,36,fwd,v2,54.730751037597656,285.75,0.10991547256708145
synaptic,sigma,8.0,250,256,256,25,8.0,36,fwd,v1,128.2263946533203,214.75,0.10991547256708145
synaptic,sigma,8.0,250,256,256,25,8.0,36,fwd,eventdriven,563.604248046875,135.0029296875,0.10991547256708145
synaptic,sigma,8.0,250,256,256,25,8.0,36,fwd,vanilla,40.941566467285156,188.0,0.12425623089075089
synaptic,sigma,8.0,250,256,256,25,8.0,36,fwdbwd,v2,162.75033569335938,2553.75048828125,0.10991547256708145
synaptic,sigma,8.0,250,256,256,25,8.0,36,fwdbwd,v1,455.805908203125,2538.00048828125,0.10991547256708145
synaptic,sigma,8.0,250,256,256,25,8.0,36,fwdbwd,eventdriven,925.1102905273438,316.37841796875,0.10991547256708145
synaptic,sigma,8.0,250,256,256,25,8.0,36,fwdbwd,vanilla,119.65849304199219,313.0,0.12425623089075089
