model,layer,selection,magnitude,model_seed,perturb_seed,dose,acc
ax_learned,1,long,0.5,1,2,5.265625,80.95868903934844
ax_learned,1,long,0.75,1,0,8.6015625,78.60857619468158
ax_learned,1,long,0.75,1,1,7.9140625,79.49170837013051
ax_learned,1,long,0.75,1,2,8.2421875,79.43773918163085
ax_learned,1,short,0.1,1,0,0.0,82.37660680993034
ax_learned,1,short,0.1,1,1,0.0,82.37660680993034
ax_learned,1,short,0.1,1,2,0.0,82.37660680993034
ax_learned,1,short,0.25,1,0,0.109375,82.49435776665685
ax_learned,1,short,0.25,1,1,0.1171875,82.51888921597488
ax_learned,1,short,0.25,1,2,0.1015625,82.45020115788441
ax_learned,1,short,0.5,1,0,1.0859375,81.100971445393
ax_learned,1,short,0.5,1,1,1.1171875,81.3070356196644
ax_learned,1,short,0.5,1,2,1.0390625,81.09115886566579
ax_learned,1,short,0.75,1,0,3.359375,76.65096653910312
ax_learned,1,short,0.75,1,1,3.09375,76.71474830733
ax_learned,1,short,0.75,1,2,3.1328125,76.3369639878324
ax_learned,2,random,0.0,1,0,0.0,82.37660680993034
ax_learned,2,random,0.1,1,0,0.9140625,82.22941811402218
ax_learned,2,random,0.1,1,1,0.828125,82.27848101265823
ax_learned,2,random,0.1,1,2,0.625,82.25885585320381
ax_learned,2,random,0.25,1,0,2.3828125,81.47384947502698
ax_learned,2,random,0.25,1,1,2.5234375,81.4934746344814
ax_learned,2,random,0.25,1,2,2.7109375,81.73878912766166
ax_learned,2,random,0.5,1,0,4.40625,80.7182808360318
ax_learned,2,random,0.5,1,1,4.8984375,79.54567755863016
ax_learned,2,random,0.5,1,2,4.1640625,80.39446570503385
ax_learned,2,random,0.75,1,0,7.4453125,76.4301834952409
ax_learned,2,random,0.75,1,1,7.3203125,75.98371111765283
ax_learned,2,random,0.75,1,2,7.1171875,77.03856343832794
ax_learned,2,random,1.0,1,0,9.4375,70.93513884800313
ax_learned,2,random,1.0,1,1,9.5390625,72.7063094887646
ax_learned,2,random,1.0,1,2,9.4921875,73.00559317044451
ax_learned,2,long,0.1,1,0,0.9375,82.41095083897557
ax_learned,2,long,0.1,1,1,0.921875,82.19016779511334
ax_learned,2,long,0.1,1,2,0.9140625,82.08222941811403
ax_learned,2,long,0.25,1,0,1.90625,82.1656363457953
ax_learned,2,long,0.25,1,1,2.09375,81.68481993916201
ax_learned,2,long,0.25,1,2,2.0234375,81.75841428711608
ax_learned,2,long,0.5,1,0,4.1015625,79.6830536748111
ax_learned,2,long,0.5,1,1,4.46875,79.55549013835737
ax_learned,2,long,0.5,1,2,4.4140625,80.35030909626141
ax_learned,2,long,0.75,1,0,6.5703125,78.65763909331763
ax_learned,2,long,0.75,1,1,7.1171875,78.79010891963497
ax_learned,2,long,0.75,1,2,6.7890625,77.41634775782553
ax_learned,2,short,0.1,1,0,0.03125,82.48454518692964
ax_learned,2,short,0.1,1,1,0.03125,82.57285840447453
ax_learned,2,short,0.1,1,2,0.03125,82.31282504170346
ax_learned,2,short,0.25,1,0,0.234375,82.45510744774802
ax_learned,2,short,0.25,1,1,0.2890625,82.4403885781572
ax_learned,2,short,0.25,1,2,0.3046875,82.58267098420174
ax_learned,2,short,0.5,1,0,1.25,81.70444509861643
ax_learned,2,short,0.5,1,1,1.296875,81.58669414188991
ax_learned,2,short,0.5,1,2,1.3125,81.33647335884604
ax_learned,2,short,0.75,1,0,3.3046875,80.04121283485428
ax_learned,2,short,0.75,1,1,3.5,79.62908448631146
ax_learned,2,short,0.75,1,2,3.3359375,79.51133352958493
ax_learned,3,random,0.0,1,0,0.0,82.37660680993034
ax_learned,3,random,0.1,1,0,0.7734375,82.4403885781572
ax_learned,3,random,0.1,1,1,0.75,82.56795211461093
ax_learned,3,random,0.1,1,2,0.796875,82.3520753606123
ax_learned,3,random,0.25,1,0,2.640625,82.03807280934157
ax_learned,3,random,0.25,1,1,2.34375,82.0626042586596
ax_learned,3,random,0.25,1,2,1.828125,82.19016779511334
ax_learned,3,random,0.5,1,0,4.296875,81.83200863507015
ax_learned,3,random,0.5,1,1,4.75,81.7780394465705
ax_learned,3,random,0.5,1,2,4.3671875,82.09204199784124
ax_learned,3,random,0.75,1,0,6.5703125,81.61613188107154
ax_learned,3,random,0.75,1,1,6.1640625,81.81728976547934
ax_learned,3,random,0.75,1,2,6.5859375,81.63575704052596
ax_learned,3,random,1.0,1,0,8.3984375,81.09115886566579
ax_learned,3,random,1.0,1,1,8.953125,81.12059660484742
ax_learned,3,random,1.0,1,2,9.2265625,80.97831419880286
ax_learned,3,long,0.1,1,0,0.375,82.3520753606123
ax_learned,3,long,0.1,1,1,0.4921875,82.42076341870278
ax_learned,3,long,0.1,1,2,0.4765625,82.37660680993034
ax_learned,3,long,0.25,1,0,1.484375,82.29810617211265
ax_learned,3,long,0.25,1,1,1.6640625,82.38151309979393
ax_learned,3,long,0.25,1,2,1.5859375,82.14601118634089
ax_learned,3,long,0.5,1,0,3.3515625,81.93504072220587
ax_learned,3,long,0.5,1,1,3.703125,81.84182121479736
ax_learned,3,long,0.5,1,2,3.4140625,81.98900991070552
ax_learned,3,long,0.75,1,0,6.53125,81.33156706898244
ax_learned,3,long,0.75,1,1,6.1953125,81.59650672161712
ax_learned,3,long,0.75,1,2,6.1328125,81.59650672161712
ax_learned,3,short,0.1,1,0,0.078125,82.43057599842999
ax_learned,3,short,0.1,1,1,0.125,82.61701501324698
ax_learned,3,short,0.1,1,2,0.1015625,82.51888921597488
ax_learned,3,short,0.25,1,0,0.5078125,82.53360808556569
ax_learned,3,short,0.25,1,1,0.5078125,82.42076341870278
ax_learned,3,short,0.25,1,2,0.4921875,82.51398292611127
ax_learned,3,short,0.5,1,0,1.5390625,82.36188794033951
ax_learned,3,short,0.5,1,1,1.734375,82.16073005593171
ax_learned,3,short,0.5,1,2,1.5859375,82.12638602688646
ax_learned,3,short,0.75,1,0,4.21875,81.9693847512511
ax_learned,3,short,0.75,1,1,4.0,82.1558237660681
ax_learned,3,short,0.75,1,2,3.90625,81.78294573643412
ax_learned,1,random,0.0,2,0,0.0,82.17054263565892
ax_learned,1,random,0.1,2,0,0.890625,81.92032185261505
ax_learned,1,random,0.1,2,1,0.3828125,82.00863507015994
ax_learned,1,random,0.1,2,2,0.484375,82.14110489647729
ax_learned,1,random,0.25,2,0,2.0,81.32175448925523
ax_learned,1,random,0.25,2,1,2.2578125,81.1058777352566
ax_learned,1,random,0.25,2,2,2.0234375,81.12059660484742
ax_learned,1,random,0.5,2,0,4.2734375,78.9078598763615
ax_learned,1,random,0.5,2,1,4.3359375,78.46138749877343
ax_learned,1,random,0.5,2,2,4.140625,78.41232460013738
ax_learned,1,random,0.75,2,0,6.8046875,74.5216367382985
ax_learned,1,random,0.75,2,1,6.8359375,77.79903836718674
ax_learned,1,random,0.75,2,2,6.5859375,76.59699735060347
ax_learned,1,random,1.0,2,0,9.1015625,71.08232754391129
ax_learned,1,random,1.0,2,1,9.0,74.30575998429987
ax_learned,1,random,1.0,2,2,8.9140625,72.59346482190168
ax_learned,1,long,0.1,2,0,0.8671875,81.99391620056913
ax_learned,1,long,0.1,2,1,0.90625,82.03316651947797
ax_learned,1,long,0.1,2,2,0.8203125,81.90069669316063
ax_learned,1,long,0.25,2,0,2.4375,81.41988028652733
ax_learned,1,long,0.25,2,1,2.1015625,81.61613188107154
ax_learned,1,long,0.25,2,2,2.3515625,81.40516141693651
ax_learned,1,long,0.5,2,0,4.7421875,80.47296634285154
ax_learned,1,long,0.5,2,1,4.640625,80.8164066333039
ax_learned,1,long,0.5,2,2,4.515625,81.08134628593858
ax_learned,1,long,0.75,2,0,7.4296875,79.23167500735943
ax_learned,1,long,0.75,2,1,6.8984375,79.98724364635463
ax_learned,1,long,0.75,2,2,7.1796875,79.53586497890295
ax_learned,1,short,0.1,2,0,0.0,82.17054263565892
ax_learned,1,short,0.1,2,1,0.0,82.17054263565892
ax_learned,1,short,0.1,2,2,0.0,82.17054263565892
ax_learned,1,short,0.25,2,0,0.1015625,82.1558237660681
ax_learned,1,short,0.25,2,1,0.1015625,82.29319988224904
ax_learned,1,short,0.25,2,2,0.1015625,82.1656363457953
ax_learned,1,short,0.5,2,0,0.9921875,80.86546953193995
ax_learned,1,short,0.5,2,1,1.03125,80.35030909626141
ax_learned,1,short,0.5,2,2,0.984375,80.98812677853007
ax_learned,1,short,0.75,2,0,2.96875,77.16122068491806
ax_learned,1,short,0.75,2,1,2.7421875,76.31243253851437
ax_learned,1,short,0.75,2,2,2.828125,77.0042194092827
ax_learned,2,random,0.0,2,0,0.0,82.17054263565892
ax_learned,2,random,0.1,2,0,1.328125,81.90069669316063
ax_learned,2,random,0.1,2,1,0.875,81.98410362084192
ax_learned,2,random,0.1,2,2,0.9140625,81.90069669316063
ax_learned,2,random,0.25,2,0,2.0234375,81.37081738789128
ax_learned,2,random,0.25,2,1,2.140625,81.45422431557256
ax_learned,2,random,0.25,2,2,2.8671875,81.31684819939161
ax_learned,2,random,0.5,2,0,5.2890625,79.33470709449514
ax_learned,2,random,0.5,2,1,5.5390625,78.67235796290845
ax_learned,2,random,0.5,2,2,5.0390625,78.74595231086252
ax_learned,2,random,0.75,2,0,7.9765625,75.03679717397704
ax_learned,2,random,0.75,2,1,6.859375,77.37219114905308
ax_learned,2,random,0.75,2,2,8.375,73.15768815621627
ax_learned,2,random,1.0,2,0,10.265625,69.24246884505936
ax_learned,2,random,1.0,2,1,10.3515625,67.78530075556864
ax_learned,2,random,1.0,2,2,10.8359375,70.33657148464331
ax_learned,2,long,0.1,2,0,1.0546875,81.93013443234226
ax_learned,2,long,0.1,2,1,1.0703125,81.89088411343342
ax_learned,2,long,0.1,2,2,1.0078125,82.04297909920518
ax_learned,2,long,0.25,2,0,2.1015625,81.18437837307428
ax_learned,2,long,0.25,2,1,2.3515625,81.04209596702974
ax_learned,2,long,0.25,2,2,2.3203125,81.37572367775488
ax_learned,2,long,0.5,2,0,4.46875,79.27092532626827
ax_learned,2,long,0.5,2,1,4.8671875,78.9127661662251
ax_learned,2,long,0.5,2,2,4.859375,79.3003630654499
ax_learned,2,long,0.75,2,0,7.2265625,76.82268668432931
ax_learned,2,long,0.75,2,1,7.78125,75.21342360906682
ax_learned,2,long,0.75,2,2,7.5078125,76.30752624865077
ax_learned,2,short,0.1,2,0,0.0234375,82.1656363457953
ax_learned,2,short,0.1,2,1,0.0234375,82.19998037484055
ax_learned,2,short,0.1,2,2,0.0234375,82.19998037484055
ax_learned,2,short,0.25,2,0,0.25,81.90069669316063
ax_learned,2,short,0.25,2,1,0.2890625,82.18035521538613
ax_learned,2,short,0.25,2,2,0.296875,82.13619860661368
ax_learned,2,short,0.5,2,0,1.2265625,80.90962614071239
ax_learned,2,short,0.5,2,1,1.3203125,81.15984692375626
ax_learned,2,short,0.5,2,2,1.296875,81.15494063389265
ax_learned,2,short,0.75,2,0,3.5390625,79.398488862722
ax_learned,2,short,0.75,2,1,3.7734375,78.47120007850064
ax_learned,2,short,0.75,2,2,3.5859375,78.79010891963497
ax_learned,3,random,0.0,2,0,0.0,82.17054263565892
ax_learned,3,random,0.1,2,0,1.3125,81.97429104111471
ax_learned,3,random,0.1,2,1,0.71875,82.13129231675008
ax_learned,3,random,0.1,2,2,1.1640625,82.0626042586596
ax_learned,3,random,0.25,2,0,2.5,81.93013443234226
ax_learned,3,random,0.25,2,1,2.125,81.91050927288784
ax_learned,3,random,0.25,2,2,2.171875,81.99391620056913
ax_learned,3,random,0.5,2,0,4.6953125,81.66028848984398
ax_learned,3,random,0.5,2,1,5.2578125,81.33156706898244
ax_learned,3,random,0.5,2,2,5.0859375,81.65538219998038
ax_learned,3,random,0.75,2,0,6.609375,81.26287901089196
ax_learned,3,random,0.75,2,1,7.1484375,81.16475321361986
ax_learned,3,random,0.75,2,2,6.84375,81.2089098223923
ax_learned,3,random,1.0,2,0,9.1015625,80.64959277794132
ax_learned,3,random,1.0,2,1,9.296875,80.58090471985085
ax_learned,3,random,1.0,2,2,8.609375,80.99793935825728
ax_learned,3,long,0.1,2,0,0.421875,82.20979295456776
ax_learned,3,long,0.1,2,1,0.515625,82.0626042586596
ax_learned,3,long,0.1,2,2,0.484375,82.17054263565892
ax_learned,3,long,0.25,2,0,1.40625,81.99882249043273
ax_learned,3,long,0.25,2,1,1.546875,82.0626042586596
ax_learned,3,long,0.25,2,2,1.5078125,82.19507408497694
ax_learned,3,long,0.5,2,0,3.515625,81.68481993916201
ax_learned,3,long,0.5,2,1,3.953125,81.72407025807085
ax_learned,3,long,0.5,2,2,3.6015625,81.75841428711608
ax_learned,3,long,0.75,2,0,6.8125,81.03228338730253
ax_learned,3,long,0.75,2,1,6.4140625,81.06172112648416
ax_learned,3,long,0.75,2,2,6.375,81.28741046020998
ax_learned,3,short,0.1,2,0,0.1015625,82.18526150524973
ax_learned,3,short,0.1,2,1,0.1484375,82.17054263565892
ax_learned,3,short,0.1,2,2,0.1328125,82.11166715729566
ax_learned,3,short,0.25,2,0,0.515625,82.1558237660681
ax_learned,3,short,0.25,2,1,0.5,82.26376214306741
ax_learned,3,short,0.25,2,2,0.515625,82.08713570797762
ax_learned,3,short,0.5,2,0,1.453125,81.90560298302424
ax_learned,3,short,0.5,2,1,1.6953125,81.9644784613875
ax_learned,3,short,0.5,2,2,1.53125,81.98410362084192
ax_learned,3,short,0.75,2,0,4.125,81.4934746344814
ax_learned,3,short,0.75,2,1,3.921875,81.61122559120793
ax_learned,3,short,0.75,2,2,3.8125,81.56706898243549
ax_learned,1,random,0.0,3,0,0.0,82.2539495633402
ax_learned,1,random,0.1,3,0,1.125,82.1656363457953
ax_learned,1,random,0.1,3,1,0.9375,81.91541556275145
ax_learned,1,random,0.1,3,2,0.9765625,81.95466588166029
ax_learned,1,random,0.25,3,0,2.65625,81.47384947502698
ax_learned,1,random,0.25,3,1,2.453125,81.02737709743892
ax_learned,1,random,0.25,3,2,2.5859375,81.38062996761849
ax_learned,1,random,0.5,3,0,5.9140625,80.17858895103522
ax_learned,1,random,0.5,3,1,5.46875,80.01177509567265
ax_learned,1,random,0.5,3,2,4.8046875,79.93327445785496
ax_learned,1,random,0.75,3,0,7.640625,76.39093317633206
ax_learned,1,random,0.75,3,1,8.2578125,75.39495633402021
ax_learned,1,random,0.75,3,2,7.5859375,76.34677656755962
ax_learned,1,random,1.0,3,0,10.359375,68.87449710528898
ax_learned,1,random,1.0,3,1,10.40625,73.02031204003532
ax_learned,1,random,1.0,3,2,11.0703125,71.55823766068099
ax_learned,1,long,0.1,3,0,0.984375,82.12638602688646
