model,type,condition,lam,seed,acc,firing_rate,spike_cost,delay_mean,delay_std,delay_max
ax_fixed,axonal,fixed,0.2,2,83.49201474201475,0.23758469140305077,0.11596144907749616,6.299342155456543,4.887470245361328,27.0
ax_fixed,axonal,fixed,0.3,0,83.98341523341523,0.2211658076755733,0.10800589019289383,5.967105388641357,4.4321160316467285,19.0
ax_fixed,axonal,fixed,0.3,1,83.93734643734643,0.22781738521191647,0.11158208205149724,6.802631378173828,5.094552516937256,27.0
ax_fixed,axonal,fixed,0.3,2,83.66093366093367,0.22430715410012286,0.10991300470553912,6.299342155456543,4.887470245361328,27.0
ax_fixed,axonal,fixed,0.5,0,83.82985257985258,0.19641223094543406,0.0965908132493496,5.967105388641357,4.4321160316467285,19.0
ax_fixed,axonal,fixed,0.5,1,84.27518427518427,0.20281683654535218,0.10002455917688516,6.802631378173828,5.094552516937256,27.0
ax_fixed,axonal,fixed,0.5,2,82.37100737100737,0.19479812109694922,0.09596413431259301,6.299342155456543,4.887470245361328,27.0
ax_fixed,axonal,fixed,1.0,0,84.02948402948402,0.15724213151361588,0.07799464779404494,5.967105388641357,4.4321160316467285,19.0
ax_fixed,axonal,fixed,1.0,1,84.55159705159706,0.16465058897676085,0.08210368253863774,6.802631378173828,5.094552516937256,27.0
ax_fixed,axonal,fixed,1.0,2,82.41707616707616,0.16089682189291565,0.07998869568109512,6.299342155456543,4.887470245361328,27.0
ax_fixed,axonal,fixed,1.7,0,80.02149877149877,0.127802670390561,0.0632869923630586,5.967105388641357,4.4321160316467285,19.0
ax_fixed,axonal,fixed,1.7,1,84.42874692874693,0.13766417127354627,0.0692351130911937,6.802631378173828,5.094552516937256,27.0
ax_fixed,axonal,fixed,1.7,2,82.4477886977887,0.13629111480088044,0.06853212788701057,6.299342155456543,4.887470245361328,27.0
ax_fixed,axonal,fixed,3.0,0,83.16953316953317,0.10706848254504504,0.05403317797642488,5.967105388641357,4.4321160316467285,19.0
ax_fixed,axonal,fixed,3.0,1,82.96990171990171,0.10922183884879197,0.05531683320609423,6.802631378173828,5.094552516937256,27.0
ax_fixed,axonal,fixed,3.0,2,81.2960687960688,0.106909148495086,0.05379939566438015,6.299342155456543,4.887470245361328,27.0
ax_fixed,axonal,fixed,5.0,0,79.85257985257985,0.08630391168867732,0.04364119842648506,5.967105388641357,4.4321160316467285,19.0
ax_fixed,axonal,fixed,5.0,1,78.30159705159706,0.08620110469133907,0.043602006223339304,6.802631378173828,5.094552516937256,27.0
ax_fixed,axonal,fixed,5.0,2,78.43980343980344,0.0881429316390254,0.044429188021100484,6.299342155456543,4.887470245361328,27.0
ax_fixed,axonal,fixed,10.0,0,74.41646191646191,0.06598453975993039,0.03349428251385689,5.967105388641357,4.4321160316467285,19.0
ax_fixed,axonal,fixed,10.0,1,78.33230958230958,0.06955692535575347,0.035242828325583384,6.802631378173828,5.094552516937256,27.0
ax_fixed,axonal,fixed,10.0,2,77.53378378378379,0.07154341344185094,0.03651732894090506,6.299342155456543,4.887470245361328,27.0
ax_fixed,axonal,fixed,30.0,0,71.8980343980344,0.05503771882678132,0.02835819612328823,5.967105388641357,4.4321160316467285,19.0
ax_fixed,axonal,fixed,30.0,1,70.3470515970516,0.05496960739148239,0.028331315359817102,6.802631378173828,5.094552516937256,27.0
ax_fixed,axonal,fixed,30.0,2,67.9514742014742,0.052659134098587225,0.026986363200614087,6.299342155456543,4.887470245361328,27.0
syn_learned,synaptic,learned,0.0,0,84.52088452088452,0.279385960534398,0.13494533930833524,6.8811445236206055,5.725601673126221,38.0
syn_learned,synaptic,learned,0.0,1,84.07555282555282,0.30012961327805077,0.1452782778785779,6.77096700668335,5.680649280548096,41.0
syn_learned,synaptic,learned,0.0,2,84.01412776412776,0.2931318175419738,0.14184453051823837,6.901055812835693,5.74416971206665,40.0
syn_learned,synaptic,learned,0.1,0,84.55159705159706,0.24654608479217854,0.1194857805967331,6.880743026733398,5.716139793395996,37.0
syn_learned,synaptic,learned,0.1,1,84.6590909090909,0.272314579494267,0.1323261369879429,6.788344383239746,5.708680152893066,41.0
syn_learned,synaptic,learned,0.1,2,84.72051597051598,0.2641756788748976,0.12840327706474525,6.861697673797607,5.704342842102051,40.0
syn_learned,synaptic,learned,0.2,0,84.76658476658477,0.2347019028972154,0.11429234594106674,6.8886613845825195,5.69012975692749,43.0
syn_learned,synaptic,learned,0.2,1,85.1504914004914,0.24517652666871417,0.11968396546748969,6.780109882354736,5.6701531410217285,39.0
syn_learned,synaptic,learned,0.2,2,84.42874692874693,0.23927405335022522,0.1168210136775787,6.891026020050049,5.693873882293701,36.0
syn_learned,synaptic,learned,0.3,0,84.62837837837837,0.21417033937346439,0.10453728987620427,6.891152858734131,5.684935569763184,38.0
syn_learned,synaptic,learned,0.3,1,84.98157248157248,0.22350204590243652,0.10956532794695634,6.774788856506348,5.666759014129639,41.0
syn_learned,synaptic,learned,0.3,2,84.7512285012285,0.21959195203726453,0.1075396672464334,6.889421463012695,5.693397521972656,38.0
syn_learned,synaptic,learned,0.5,0,84.98157248157248,0.19154438920454545,0.09410432353615761,6.933509349822998,5.684154987335205,39.0
syn_learned,synaptic,learned,0.5,1,85.61117936117937,0.1963605283195127,0.09700548706146386,6.797318458557129,5.65114688873291,41.0
syn_learned,synaptic,learned,0.5,2,83.70700245700246,0.19225899941134317,0.09469969284075958,6.878885269165039,5.6562628746032715,38.0
syn_learned,synaptic,learned,1.0,0,82.73955773955774,0.14986579903767402,0.07430681299704772,6.905236721038818,5.670962333679199,37.0
syn_learned,synaptic,learned,1.0,1,84.85872235872236,0.16161597339527026,0.08063487622600335,6.849451065063477,5.647287845611572,40.0
syn_learned,synaptic,learned,1.0,2,83.61486486486487,0.158249747261466,0.07891626942616242,6.9317779541015625,5.634257793426514,40.0
syn_learned,synaptic,learned,1.7,0,84.36732186732186,0.12742134712837838,0.0638938957395462,6.933804988861084,5.6720805168151855,39.0
syn_learned,synaptic,learned,1.7,1,84.8433660933661,0.13356112273495085,0.06712969191945516,6.842483043670654,5.615545749664307,37.0
