model,type,condition,lam,acc_mean,acc_sem,firing_rate_mean,firing_rate_sem,spike_cost_mean,spike_cost_sem,delay_mean_mean,delay_mean_sem,delay_std_mean,delay_std_sem,delay_max_mean,delay_max_sem
ax_learned,axonal,learned,0.0,83.49201474201475,0.1711532913319024,0.2921104941944786,0.005656535936747986,0.14113833010196686,0.002780931452753616,7.241228262583415,0.13573777397494058,5.826889832814534,0.1501806624212611,28.333333333333332,1.3608276348795436
ax_learned,axonal,learned,0.1,83.83497133497133,0.22198328140871568,0.26090308170386295,0.00285536429366342,0.12661821003525686,0.001552394466813427,7.372807025909424,0.16444695318703098,5.724770704905192,0.07224783127398418,28.0,1.414213562373095
ax_learned,axonal,learned,0.2,84.02948402948402,0.3050709341881952,0.238589864011739,0.002493396738895765,0.1163018536873353,0.0012442813119176211,7.338815689086914,0.15005515729103613,5.705297629038493,0.1024467337110524,29.333333333333332,0.2721655269759087
ax_learned,axonal,learned,0.3,83.96294021294021,0.29067438854324906,0.22035815556323368,0.0019240419450351441,0.10788134495035195,0.001030624113716573,7.288377285003662,0.20328210353248763,5.791195392608643,0.05889396327490891,30.666666666666668,1.4401645996461911
ax_learned,axonal,learned,0.5,83.88104013104014,0.11724817460148586,0.19690057884589138,0.0015080939382927233,0.09698696596882282,0.0007805669399042944,7.321271896362305,0.22216514806406837,5.758622964223226,0.10868719045586238,27.333333333333332,1.6555182695279267
ax_learned,axonal,learned,1.0,82.86752661752662,1.2151483347134935,0.1568736627252252,0.0019491639902712368,0.0779267688974356,0.0010661601292233603,7.1184210777282715,0.15867700310874575,5.516029516855876,0.06421559464552469,29.0,1.2472191289246473
ax_learned,axonal,learned,1.7,83.67628992628993,0.49395323840355276,0.13319619121962872,0.001029785944368569,0.06671538605139805,0.0005505343010631737,7.324561436971028,0.1387859747209841,5.536689281463623,0.1010450154950998,25.333333333333332,1.3608276348795436
ax_learned,axonal,learned,3.0,81.65438165438165,1.0939375702911431,0.10721704054907182,0.0019654450506181257,0.05397611412291344,0.001111170675988449,7.236842155456543,0.20144427986940325,5.563283761342366,0.18466364862835105,27.0,0.9428090415820635
ax_learned,axonal,learned,5.0,78.92096642096642,0.6770057599007279,0.08640317714731777,0.0014816975499596231,0.043681817797896184,0.0007734250608964731,7.364034970601399,0.2046202495594259,5.507302284240723,0.09612718898036841,26.333333333333332,1.6555182695279267
ax_learned,axonal,learned,10.0,76.32063882063882,0.8100905043431669,0.06888014808131997,0.0005477036603597365,0.03504649396890249,0.0002832476427835982,7.083333492279053,0.2256979527338427,5.667977968851726,0.19997074080907146,28.0,1.885618083164127
ax_learned,axonal,learned,30.0,70.4033579033579,0.7533560198658673,0.0546108930308149,0.0009772638630728462,0.0282422073233204,0.0005744905499591666,7.128289540608724,0.10347760205757196,5.785290877024333,0.10545597791595819,26.333333333333332,0.9813067629253164
syn_fixed,synaptic,fixed,0.0,82.73955773955775,0.05465334895593283,0.2939631401643121,0.007988130353746254,0.14228161118733576,0.0038561715523187296,6.369749546051025,0.013118887202206811,4.83598264058431,0.006462776300481202,34.0,0.47140452079103173
syn_fixed,synaptic,fixed,0.1,83.23095823095822,0.244738597212981,0.26706446592188776,0.004888536731974719,0.1297488077901877,0.002372654247995263,6.369749546051025,0.013118887202206811,4.83598264058431,0.006462776300481202,34.0,0.47140452079103173
syn_fixed,synaptic,fixed,0.2,83.16953316953317,0.22754003655705085,0.23893536665216353,0.0027446233438098424,0.11651186568614764,0.0014604146093719647,6.369749546051025,0.013118887202206811,4.83598264058431,0.006462776300481202,34.0,0.47140452079103173
syn_fixed,synaptic,fixed,0.3,83.47153972153973,0.4363469783150556,0.22192937824187822,0.00227574526673594,0.10883022090181327,0.001169543539844394,6.369749546051025,0.013118887202206811,4.83598264058431,0.006462776300481202,34.0,0.47140452079103173
syn_fixed,synaptic,fixed,0.5,82.97502047502047,0.5355075804980034,0.1935027374675812,0.0020498108892365585,0.09533577813551976,0.0011032498209198442,6.369749546051025,0.013118887202206811,4.83598264058431,0.006462776300481202,34.0,0.47140452079103173
syn_fixed,synaptic,fixed,1.0,82.77027027027027,0.5597493886757007,0.15921823012643324,0.0032150825004450367,0.07928517947976406,0.0016719062720339727,6.369749546051025,0.013118887202206811,4.83598264058431,0.006462776300481202,34.0,0.47140452079103173
syn_fixed,synaptic,fixed,1.7,81.66461916461917,0.8034652141872313,0.1287692913083538,0.002649996112979865,0.06457188649055286,0.0014708128110617977,6.369749546051025,0.013118887202206811,4.83598264058431,0.006462776300481202,34.0,0.47140452079103173
syn_fixed,synaptic,fixed,3.0,81.38308763308764,0.7930051468610236,0.10713514046717171,0.001698682228823751,0.05412706293356725,0.0009140531085526606,6.369749546051025,0.013118887202206811,4.83598264058431,0.006462776300481202,34.0,0.47140452079103173
syn_fixed,synaptic,fixed,5.0,79.20761670761671,0.7460399007701508,0.087849651498089,0.001258057461236125,0.04460912336332676,0.0007297551235035607,6.369749546051025,0.013118887202206811,4.83598264058431,0.006462776300481202,34.0,0.47140452079103173
syn_fixed,synaptic,fixed,10.0,77.76412776412776,0.2792420494878354,0.07058086726641415,0.00017130976587897748,0.03612686130098808,0.00010324867251053338,6.369749546051025,0.013118887202206811,4.83598264058431,0.006462776300481202,34.0,0.47140452079103173
syn_fixed,synaptic,fixed,30.0,70.12182637182637,0.49019040651111395,0.053654765027811906,0.0013018542268851169,0.02775561069257748,0.0006770732425644619,6.369749546051025,0.013118887202206811,4.83598264058431,0.006462776300481202,34.0,0.47140452079103173
syn_learned,synaptic,learned,0.0,84.2035217035217,0.13036924307188924,0.29088246378480753,0.004974813821887021,0.14068938256838384,0.0024807337607894195,6.85105578104655,0.033031209799896065,5.716806888580322,0.015396409981857094,39.666666666666664,0.7200822998230956
syn_learned,synaptic,learned,0.1,84.64373464373465,0.04030511811021584,0.2610121143871144,0.006209489780510023,0.12673839821647373,0.003101883092857091,6.843595027923584,0.022998341344042807,5.709720929463704,0.0028128446202859117,39.333333333333336,0.9813067629253164
syn_learned,synaptic,learned,0.2,84.78194103194103,0.1702322803881644,0.23971749430538494,0.0024755208520025078,0.11693244169537838,0.0012716308366983256,6.853265762329102,0.02987096307022135,5.68471892674764,0.0060115851865719435,39.333333333333336,1.6555182695279267
syn_learned,synaptic,learned,0.3,84.78705978705979,0.08452406549618616,0.21908811243772183,0.002209101247227822,0.10721409502319801,0.0011925499909987355,6.851787726084392,0.03143730575821054,5.681697368621826,0.00641641964891712,39.0,0.8164965809277261
